trial, rcvdMessage_Tomato_WPA2_2.txt;
11-/device-1, 106 31298367.621763 random 568507 0 25 275 0 120 15 60 5 80 0 325 90 10 135 150 105 75 130 130 130;
11-/device-2, 111 31298570.858798 random 584554 155 85 25 245 205 205 205 65 155 115 130 240 50 45;
11-/device-3, 116 31298702.041838 random 583124 175 200 15 185 205 40 160 200 210 10 40 245 0 10 20 75 250;
11-/device-4, 118 31298980.421979 random 580670 205 200 35 270 0 65 135 215 120 280 5 10 55 220 0 60 55;
11-/device-5, 119 31299162.757368 random 591124 65 260 0 0 60 40 205 0 0 25 295 55 135 0 210 250 250 150 0 200 25;
11-/device-6, 133 31299401.787305 random 585045 295 100 315 0 65 230 205 0 300 0 200 210 0 55;
11-/device-7, 147 31299699.255949 random 580469 15 290 290 0 75 125 25 70 315 315 155 55 150 20 320 45 255 0;
11-/device-8, 149 31299907.228685 random 537199 215 35 25 225 0 100 250 0 55 190 0 200 305 120 160 20;
12-/device-1, 106 31304266.468917 random 568507 240 135 135 5 115 25 50 145 195 5 45 255 205 200 135 45 25;
12-/device-2, 111 31304482.34325 random 584554 180 230 115 125 155 340 0 205 310 5 70 220 20;
12-/device-3, 116 31304702.763601 random 583124 45 275 205 0 300 60 30 15 5 325 175 10 60 230 310 0;
12-/device-4, 118 31305023.27226 random 580670 205 205 15 280 205 230 0 5 175 95 205 200 205 35 35;
12-/device-5, 119 31305162.154204 random 591124 55 210 65 240 100 205 30 20 255 200 60 60 285 0 195;
12-/device-6, 133 31305401.198552 random 585045 15 320 230 5 0 270 105 65 130 0 205 40 255 210 195;
12-/device-7, 147 31305641.26731 random 580469 0 335 0 30 350 350 15 160 20 95 40 275 65 155 155 95 225;
12-/device-8, 149 31305980.366479 random 537199 10 160 205 95 30 15 80 55 225 15 280 210 65 45 280 50;
13-/device-1, 106 31310347.618964 blinking 568507 0;
13-/device-2, 111 31310553.131326 blinking 584554 0;
13-/device-3, 116 31310701.779878 blinking 583124 0;
13-/device-4, 118 31310950.759692 blinking 580670 0;
13-/device-5, 119 31311161.53124 blinking 591124 0;
13-/device-6, 133 31311405.750527 blinking 585045 0;
13-/device-7, 147 31311623.347605 blinking 580469 0;
13-/device-8, 149 31311842.163285 blinking 537199 0;
14-/device-1, 106 31316287.441448 random 568507 0 100 35 75 185 305 25 80 190 125 285 215 0 40 100 120 45;
14-/device-2, 111 31316491.665206 random 584554 20 280 10 290 50 140 150 100 50 35 15 280 0 60 0 0 320 65 40 35;
14-/device-3, 116 31316702.672064 random 583124 300 205 35 10 155 80 220 95 205 0 305 205 205 0;
14-/device-4, 118 31317004.937273 random 580670 205 205 0 0 205 0 5 90 205 220 0 185 75 225 205 200 0 45 45;
14-/device-5, 119 31317161.738566 random 591124 145 105 60 245 220 185 200 200 200 0 200 5 95 105;
14-/device-6, 133 31317420.732143 random 585045 15 65 35 180 15 20 265 265 100 0 305 210 200 55 25 320 0 205 0;
14-/device-7, 147 31317622.991037 random 580469 320 90 5 195 0 300 130 170 305 140 150 90 90;
14-/device-8, 149 31317945.352014 random 537199 0 0 190 200 65 70 175 0 195 205 10 290 10 300 5 5 0 30 0 210 10;
15-/device-1, 106 31322262.777378 solid 568507 0;
15-/device-2, 111 31322481.805598 solid 584554 0;
15-/device-3, 116 31322712.984995 solid 583124 0;
15-/device-4, 118 31322956.824934 solid 580670 0;
15-/device-5, 119 31323160.974885 solid 591124 0;
15-/device-6, 133 31323402.114039 solid 585045 0;
15-/device-7, 147 31323660.593906 solid 580469 0;
15-/device-8, 149 31323866.835988 solid 537199 0;
16-/device-1, 106 31328268.727532 random 568507 5 80 135 280 50 100 100 85 0 265 15 185 90 20 20 0 265 50 135 85;
16-/device-2, 111 31328575.418707 random 584554 80 235 190 210 0 0 60 235 0 130 100 0 25 15 130 100 45 85 35 155 30;
16-/device-3, 116 31328781.69347 random 583124 115 185 210 95 205 200 75 335 135 25 245 200;
16-/device-4, 118 31328985.063787 random 580670 210 100 200 30 65 195 80 75 265 5 295 15 280 205;
16-/device-5, 119 31329198.092408 random 591124 75 225 95 0 195 65 245 55 240 210 200 0 205 200;
16-/device-6, 133 31329505.266714 random 585045 195 75 230 210 0 135 275 195 5 200 55 135 175;
16-/device-7, 147 31329704.063505 random 580469 0 50 30 35 290 115 150 45 140 140 70 30 205 80 20 305 0 0 195;
16-/device-8, 149 31329909.246788 random 537199 225 0 185 200 0 45 45 55 50 195 205 30 275 200 50 55 95;
